,Provider_Name,NPI,Medicaid_EP_Hospital_Type,Specialty,Business_Street_Address,Business_City,Business_County,Business_ZIP_Code,Business_State_Territory,Program_Year,Payment_Year,Payment_Year_Number,Payment_Criteria__Medicaid_Only,Payee_Name,Payee_NPI,Disbursement_Amount,Total_Payments,Longitude,Latitude
0,#,#,Physician,OBSTETRICS/GYNECOLOGY,#,Fillmore,Ventura,93015.0,California,2016.0,2017.0,3.0,MU,#,#,8500.0,38250.0,-118.921978,34.395634
1,#,#,Nurse Practitioner,UNKNOWN,#,Anaheim,Orange,92801.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-117.975105,33.847878
2,#,#,Dentist,UNKNOWN,#,Loma Linda,San Bernardino,92354.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-117.262994,34.043201
3,#,#,Nurse Practitioner,UNKNOWN,#,Santa Rosa,Sonoma,95403.0,California,2013.0,2014.0,2.0,MU,#,#,8500.0,29750.0,-122.730062,38.480021
4,#,#,Dentist,UNKNOWN,#,Downey,Los Angeles,42902.0,California,2013.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-118.162731,33.929191
5,#,#,Dentist,UNKNOWN,#,Loma Linda,San Bernardino,92354.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-117.262994,34.043201
6,#,#,Dentist,UNKNOWN,#,Imperial,Imperial,92251.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-115.570244,32.824572
7,#,#,Physician,OTOLARYNGOLOGY,#,Los Angeles,Los Angeles,90095.0,California,2012.0,2013.0,1.0,AIU,#,#,21250.0,21250.0,-118.446169,34.065478
8,#,#,Dentist,UNKNOWN,#,Inglewood,Los Angeles,90301.0,California,2015.0,2015.0,1.0,AIU,#,#,21250.0,21250.0,-118.359529,33.953551
9,#,#,Physician,UNKNOWN,#,San Mateo,San Mateo,94403.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-122.299498,37.530104
10,#,#,Physician,UNKNOWN,#,Oroville,Butte,95965.0,California,2014.0,2015.0,3.0,MU,#,#,8500.0,38250.0,-121.585298,39.498046
11,#,#,Physician,UNKNOWN,#,Los Angeles,Los Angeles,90028.0,California,2011.0,2012.0,1.0,AIU,#,#,21250.0,21250.0,-118.435216,34.080947
12,#,#,Dentist,UNKNOWN,#,Loma Linda,San Bernardino,92354.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-117.262994,34.043201
13,#,#,Physician,PEDIATRIC MEDICINE,#,Sonoma,Sonoma,95431.0,California,2011.0,2013.0,1.0,AIU,#,#,21250.0,21250.0,-122.512695,38.338315
14,#,#,Physician,UNKNOWN,#,Downey,Los Angeles,90241.0,California,2013.0,2014.0,1.0,AIU,#,#,21250.0,21250.0,-118.162731,33.929191
15,#,#,Dentist,UNKNOWN,#,Petaluma,Sonoma,94954.0,California,2014.0,2015.0,2.0,MU,#,#,8500.0,29750.0,-122.659581,38.268507
16,#,#,Dentist,UNKNOWN,#,Rialto,San Bernardino,92376.0,California,2016.0,2017.0,1.0,AIU,#,#,21250.0,21250.0,-117.370428,34.120118
